code,i_date,time,open,high,low,close,vol,amount
HKHSI,654364800,1990-09-27,2778.0,2778.74,2752.1899,2767.95,0,0
HKHSI,654451200,1990-09-28,2766.0,2766.8999,2733.99,2760.8201,0,0
HKHSI,654710400,1990-10-01,2760.0,2793.1399,2758.8401,2791.26,0,0
HKHSI,654796800,1990-10-02,2790.1399,2916.26,2790.1399,2905.48,0,0
HKHSI,654883200,1990-10-03,2902.0,2904.1101,2858.3799,2862.55,0,0
HKHSI,655056000,1990-10-05,2860.0,2894.2,2849.77,2850.45,0,0
HKHSI,655315200,1990-10-08,2850.0,2925.48,2846.8899,2925.48,0,0
HKHSI,655401600,1990-10-09,2925.0,2926.49,2898.4199,2913.52,0,0
HKHSI,655488000,1990-10-10,2913.0,2913.52,2856.26,2872.4099,0,0
HKHSI,655574400,1990-10-11,2872.0,2892.8201,2863.25,2884.4099,0,0
HKHSI,655660800,1990-10-12,2879.0,2916.78,2862.3401,2915.26,0,0
HKHSI,655920000,1990-10-15,2915.0,2935.99,2914.0901,2916.3799,0,0
HKHSI,656006400,1990-10-16,2916.3799,2954.5701,2916.3799,2949.5701,0,0
HKHSI,656092800,1990-10-17,2948.0,2959.71,2941.96,2958.54,0,0
HKHSI,656179200,1990-10-18,2960.0,2965.23,2949.6399,2950.52,0,0
HKHSI,656265600,1990-10-19,2955.4199,3003.99,2955.4199,2991.95,0,0
HKHSI,656524800,1990-10-22,2992.48,3036.96,2992.48,3015.5601,0,0
HKHSI,656611200,1990-10-23,3015.5601,3085.9399,3015.5601,3081.23,0,0
HKHSI,656697600,1990-10-24,3074.0,3074.6299,3036.3999,3042.0801,0,0
HKHSI,656784000,1990-10-25,3042.0,3064.3101,3041.45,3050.8799,0,0
HKHSI,657129600,1990-10-29,3049.0,3064.99,3029.7,3063.53,0,0
HKHSI,657216000,1990-10-30,3064.0,3064.47,3007.22,3011.6499,0,0
HKHSI,657302400,1990-10-31,3011.0,3011.6499,2972.9299,2990.96,0,0
HKHSI,657388800,1990-11-01,2989.0,2989.0701,2954.72,2968.74,0,0
HKHSI,657475200,1990-11-02,2968.0,2978.9199,2958.29,2978.9199,0,0
HKHSI,657734400,1990-11-05,2978.0,3003.4199,2963.8301,2967.24,0,0
HKHSI,657820800,1990-11-06,2967.0,2976.29,2957.27,2966.71,0,0
HKHSI,657907200,1990-11-07,2966.0,2966.71,2946.49,2955.1899,0,0
